Proposal ID;Title;Brief Description;WSC Proposal Description
1;a complete measure of wealth and wealth inequality;"In the past years, linking micro data to macro aggregates of the system of national accounts (SNA) received a lot of attention. Most efforts focused on
adding distributions of income and consumption to macro aggregates of the
household sector. In this article, we will include the wealth dimension as well. In
measures of wealth inequality, often pension entitlements are not included. In
the Dutch System of National Accounts however, these are the largest asset of
households. These entitlements relate to work-related and voluntary pensions,
but exclude public pensions. Recently, estimates of household pension wealth
are extended with implicit pension wealth. This is the result of ongoing efforts
to make pension systems more comparable over countries. In this article, we will
show the leveling effects of the pension schemes, and compare the new wealth
measures with income inequality in the Netherlands";"In the past years, linking micro data to macro aggregates of the system of national accounts (SNA) received a lot of attention. Most efforts focused on
adding distributions of income and consumption to macro aggregates of the
household sector. In this article, we will include the wealth dimension as well. In
measures of wealth inequality, often pension entitlements are not included. In
the Dutch System of National Accounts however, these are the largest asset of
households. These entitlements relate to work-related and voluntary pensions,
but exclude public pensions. Recently, estimates of household pension wealth
are extended with implicit pension wealth. This is the result of ongoing efforts
to make pension systems more comparable over countries. In this article, we will
show the leveling effects of the pension schemes, and compare the new wealth
measures with income inequality in the Netherlands"
2;an introduction to inexda metadata schema;"This paper introduces the metadata schema used by the international network
INEXDA to describe granular datasets from different countries. The schema,
agreed on by all members, facilitates a comprehensive inventory of existing
granular datasets conducted in the member institutions. This inventory, in
turn, will foster harmonisation activities between INEXDA members, broaden
metadata sharing and potentially future data sharing between institutions
represented in the network, and pave the way for metadata on publicly
available granular datasets to be shared with external researchers. The INEXDA
metadata schema was developed to be easily adaptable for non-INEXDA
institutions.";"This paper introduces the metadata schema used by the international network
INEXDA to describe granular datasets from different countries. The schema,
agreed on by all members, facilitates a comprehensive inventory of existing
granular datasets conducted in the member institutions. This inventory, in
turn, will foster harmonisation activities between INEXDA members, broaden
metadata sharing and potentially future data sharing between institutions
represented in the network, and pave the way for metadata on publicly
available granular datasets to be shared with external researchers. The INEXDA
metadata schema was developed to be easily adaptable for non-INEXDA
institutions."
3;birth registration an essential element for the individual and for government;"Birth registration establishes the identity of the individual, is a requirement
for many government services (education, health services, etc.), and provides
data useful for researchers, government and others. The article describes the
importance of birth registration for the individual and others, considers
measures to improve birth registration completene ss in low- and middleincome countries, 
and cites various applications of birth registration data.
The focus of the proposed improvement measures is on reasonable-cost,
sustainable improvements for low-resource countries.";"Birth registration establishes the identity of the individual, is a requirement
for many government services (education, health services, etc.), and provides
data useful for researchers, government and others. The article describes the
importance of birth registration for the individual and others, considers
measures to improve birth registration completene ss in low- and middleincome countries, 
and cites various applications of birth registration data.
The focus of the proposed improvement measures is on reasonable-cost,
sustainable improvements for low-resource countries."
4;building and maintaining trust in today s data;"The availability of big data to National Statistical Offices (NSOs) and their
innovative use has created opportunities to enhance the quality of existing
statistical series, often at lower cost; as well as enable new insights into long
standing public policy questions, primarily by combining big data from various
sources, including with Population Census data. The opportunities presented
by big data to NSOs also come with many challenges, particularly at a time
when the public’s trust in the ability of public and private institutions to keep
their data safe is relatively low. This paper briefly discusses the opportunities
of big data in the Australian context and then primarily focuses on the need
for NSOs to build and maintain trust in the current data landscape. Trust in
data use, which is sometimes referred to as “social licence”, is defined and
examined through multiple lenses. A framework for building and maintaining
trust is also presented for use by NSOs. The framework considers a number of
elements, including transparency and communication, engaging with
providers, the role of expert advisors, privacy, and risk management. This
paper concludes with an outline of the Australian Bureau of Statistics’ (ABS)
experiences developing this framework and plans to operationalise.";"The availability of big data to National Statistical Offices (NSOs) and their
innovative use has created opportunities to enhance the quality of existing
statistical series, often at lower cost; as well as enable new insights into long
standing public policy questions, primarily by combining big data from various
sources, including with Population Census data. The opportunities presented
by big data to NSOs also come with many challenges, particularly at a time
when the public’s trust in the ability of public and private institutions to keep
their data safe is relatively low. This paper briefly discusses the opportunities
of big data in the Australian context and then primarily focuses on the need
for NSOs to build and maintain trust in the current data landscape. Trust in
data use, which is sometimes referred to as “social licence”, is defined and
examined through multiple lenses. A framework for building and maintaining
trust is also presented for use by NSOs. The framework considers a number of
elements, including transparency and communication, engaging with
providers, the role of expert advisors, privacy, and risk management. This
paper concludes with an outline of the Australian Bureau of Statistics’ (ABS)
experiences developing this framework and plans to operationalise."
5;common approaches to capacity development in response to agenda 2030;"The paper focuses on how the Agenda 2030 affects capacity development (CD)
within national statistical systems (NSSs) and how private consultancies can
contribute to this process. Achieving the 2030 Sustainable Development
Agenda and new metrics caused by globalisation require robust and reliable
data at national level. Today, national statistical authorities are expected to
gradually increase the volume and quality of their data and the availability and
comparability of statistics (OECD 2019). Developing new methods and
extending capacity helps to take advantage of new technologies and new data
sources, increase accuracy, reduce costs and cover emerging topics. The use
of administrative data sources is important for the production of official
statistics, in particular for the comparability of statistics required for policy use
(ibid.). Common processes and quality standards are becoming increasingly
important for the production of Sustainable Development Goals (SDGs), and
the creation of interoperability between all statistical producers in a country is
necessary to unify data exchange. The ever-growing availability of data and its
strategic relevance for official statistics require common approaches to
capacity development within an organization, implemented through privatepublic partnerships (PPPs1
). Tailor-made long-term support is important, not
only to improve several technical skills at the same time, but also to develop
soft skills and deal with institutional constraints, where appropriate. This
process can be sensitive as it is based on the willingness of the actors involved
to take responsibility. We must also recognise the strengths and weaknesses
of different partners who can assist and manage these developments, and
adopt delivery models, which maximise efficiency, sustainability and impact.";"The paper focuses on how the Agenda 2030 affects capacity development (CD)
within national statistical systems (NSSs) and how private consultancies can
contribute to this process. Achieving the 2030 Sustainable Development
Agenda and new metrics caused by globalisation require robust and reliable
data at national level. Today, national statistical authorities are expected to
gradually increase the volume and quality of their data and the availability and
comparability of statistics (OECD 2019). Developing new methods and
extending capacity helps to take advantage of new technologies and new data
sources, increase accuracy, reduce costs and cover emerging topics. The use
of administrative data sources is important for the production of official
statistics, in particular for the comparability of statistics required for policy use
(ibid.). Common processes and quality standards are becoming increasingly
important for the production of Sustainable Development Goals (SDGs), and
the creation of interoperability between all statistical producers in a country is
necessary to unify data exchange. The ever-growing availability of data and its
strategic relevance for official statistics require common approaches to
capacity development within an organization, implemented through privatepublic partnerships (PPPs1
). Tailor-made long-term support is important, not
only to improve several technical skills at the same time, but also to develop
soft skills and deal with institutional constraints, where appropriate. This
process can be sensitive as it is based on the willingness of the actors involved
to take responsibility. We must also recognise the strengths and weaknesses
of different partners who can assist and manage these developments, and
adopt delivery models, which maximise efficiency, sustainability and impact."
6;data integration of unbalanced social media and survey information via calibration;"We live in an age of unprecedented amounts of information, generated in
every sector, including business, government and health care, delivered at
high speed and available in a wide variety of forms and formats. This data
may come from many different sources, such as social media posts, digital
pictures and videos, cell phone GPS, purchase transaction records and signals
sensors used to gather climate information. This information - high volume,
diverse and fast - is what is called Big Data. Social media are amongst the
most prolific generators of big data and allow billions of people all around the
world to daily interact, post and share contents and give spontaneous
feedback on specific topics. As opposed to traditional media such as
newspapers, books and television, social media is freely accessible, which
means everyone can publish content and control how the information is
generated and shared. Through social media, people express their opinions
and sentiments towards specific topics, products and services. The ability to
harness big data and social media data is an opportunity to obtain more
accurate analyses and to improve decision-making in industry, government
and many other organizations. However, handling big data may be
challenging and proper data integration is a key dimension in achieving high
information quality. We propose a novel approach to data integration that
calibrates online generated big data with interview-based customer survey
data. A common issue of customer surveys is that responses are often overly
positive, making it difficult to identify areas of weaknesses in organizations.
On the other hand, online reviews are often overly negative, hampering an
accurate evaluation of areas of excellence. The proposed methodology
calibrates the levels of unbalanced responses in different data sources via
resampling and performs data integration using Bayesian Networks to
propagate the new re-balanced information. We show, with a case study
example, how the novel data integration approach allows businesses and
organizations to get a bias-corrected appraisal of the level of satisfaction of
their customers. The application is based on the integration of online data of
review blogs and customer satisfaction surveys from the San Francisco airport.
We illustrate how this integration enhances the information quality of the data
analytic work in four of InfoQ dimensions, namely, Data Structure, Data
Integration, Temporal Relevance and Chronology of Data and Goal";"We live in an age of unprecedented amounts of information, generated in
every sector, including business, government and health care, delivered at
high speed and available in a wide variety of forms and formats. This data
may come from many different sources, such as social media posts, digital
pictures and videos, cell phone GPS, purchase transaction records and signals
sensors used to gather climate information. This information - high volume,
diverse and fast - is what is called Big Data. Social media are amongst the
most prolific generators of big data and allow billions of people all around the
world to daily interact, post and share contents and give spontaneous
feedback on specific topics. As opposed to traditional media such as
newspapers, books and television, social media is freely accessible, which
means everyone can publish content and control how the information is
generated and shared. Through social media, people express their opinions
and sentiments towards specific topics, products and services. The ability to
harness big data and social media data is an opportunity to obtain more
accurate analyses and to improve decision-making in industry, government
and many other organizations. However, handling big data may be
challenging and proper data integration is a key dimension in achieving high
information quality. We propose a novel approach to data integration that
calibrates online generated big data with interview-based customer survey
data. A common issue of customer surveys is that responses are often overly
positive, making it difficult to identify areas of weaknesses in organizations.
On the other hand, online reviews are often overly negative, hampering an
accurate evaluation of areas of excellence. The proposed methodology
calibrates the levels of unbalanced responses in different data sources via
resampling and performs data integration using Bayesian Networks to
propagate the new re-balanced information. We show, with a case study
example, how the novel data integration approach allows businesses and
organizations to get a bias-corrected appraisal of the level of satisfaction of
their customers. The application is based on the integration of online data of
review blogs and customer satisfaction surveys from the San Francisco airport.
We illustrate how this integration enhances the information quality of the data
analytic work in four of InfoQ dimensions, namely, Data Structure, Data
Integration, Temporal Relevance and Chronology of Data and Goal"
7;developing methodology for the register based census in estonia;"The next census in Estonia is planned as a register-based one, all necessary
information will be derived from 25 registers. During the preparation period,
the algorithms for creating census variables from register variables are
prepared and tested, as well as criteria for quality checks are developed. While
working out the methodology for the register-based census it became obvious
that the list of data sources is subject to change. It may require patience to
obtain data from new sources. Even if the source of relevant data is available
and the data holder has agreed to share the data, the process can be timeconsuming.";"The next census in Estonia is planned as a register-based one, all necessary
information will be derived from 25 registers. During the preparation period,
the algorithms for creating census variables from register variables are
prepared and tested, as well as criteria for quality checks are developed. While
working out the methodology for the register-based census it became obvious
that the list of data sources is subject to change. It may require patience to
obtain data from new sources. Even if the source of relevant data is available
and the data holder has agreed to share the data, the process can be timeconsuming."
8;estimation of gross population flows when spds are incomplete;"Gross population flows are made up of population inflows and population
out¬flows in the population stocks between two time points or over a period
of time. Population inflows comprise of immigration and births while
population outflows comprise of emigration and deaths. A Statistical
Population Dataset (SPD) is a dataset that typically contains one record for
each member in the population. The compilation of an SPD is typically the first
step in the compilation of population estimates from microdata. If a traditional
Census based population estimate, the final census dataset can be considered
an SPD. With a register-based population estimate, the SPD is based on the
population register. SPDs can also be compiled directly from administrative
data as in the Irish PECADO (Population Estimates Compiled from
Administrative Data Only) project. When SPDs are complete and assuming
perfect linkage, gross population flows can simply be derived by compar¬ing
the SPDs between two consecutive timepoints or periods. Population
estimates are simply obtained by taking counts from the SPD. If the SPD
contains only undercount and not overcount then the SPD (list A) can be
adjusted using a second list (list B) in a Dual System Estimation (DSE) setup to
obtain population estimates. The PECADO project proposes a system of
population estimates where both lists are compiled from administrative data
sources. Reliable population estimates will provide for reliable estimates of net
population flows but not gross population flows. We review the system of
population estimates in the PECADO project before proposing an extension
of DSE methods for the estimation of gross population flows that relies on the
same lists used to compile population estimates. While not perfect, the
proposed method has the property that as the coverage of the SPDs becomes
complete the bias and variance of the gross population flow estimates goes
to zero. We also consider alternative options and argue against them in favour
of the proposed method. Finally, we present estimates of gross population
flows using the proposed method and compare them to the official estimates.
The practical application in the PECADO project focuses on two consecutive
periods (calendar years) rather than timepoints.";"Gross population flows are made up of population inflows and population
out¬flows in the population stocks between two time points or over a period
of time. Population inflows comprise of immigration and births while
population outflows comprise of emigration and deaths. A Statistical
Population Dataset (SPD) is a dataset that typically contains one record for
each member in the population. The compilation of an SPD is typically the first
step in the compilation of population estimates from microdata. If a traditional
Census based population estimate, the final census dataset can be considered
an SPD. With a register-based population estimate, the SPD is based on the
population register. SPDs can also be compiled directly from administrative
data as in the Irish PECADO (Population Estimates Compiled from
Administrative Data Only) project. When SPDs are complete and assuming
perfect linkage, gross population flows can simply be derived by compar¬ing
the SPDs between two consecutive timepoints or periods. Population
estimates are simply obtained by taking counts from the SPD. If the SPD
contains only undercount and not overcount then the SPD (list A) can be
adjusted using a second list (list B) in a Dual System Estimation (DSE) setup to
obtain population estimates. The PECADO project proposes a system of
population estimates where both lists are compiled from administrative data
sources. Reliable population estimates will provide for reliable estimates of net
population flows but not gross population flows. We review the system of
population estimates in the PECADO project before proposing an extension
of DSE methods for the estimation of gross population flows that relies on the
same lists used to compile population estimates. While not perfect, the
proposed method has the property that as the coverage of the SPDs becomes
complete the bias and variance of the gross population flow estimates goes
to zero. We also consider alternative options and argue against them in favour
of the proposed method. Finally, we present estimates of gross population
flows using the proposed method and compare them to the official estimates.
The practical application in the PECADO project focuses on two consecutive
periods (calendar years) rather than timepoints."
9;experimenting datascience with the french ssp lab;"INSEE created a new unit dedicated to innovation and R&D in terms of new
data sources and new statistical methods for the production of official
statistics. Part of the Directorate of Methodology, Statistical Coordination and
International Relations, the SSP Lab (Official Statistics Service Lab) is a resource
and animation centre for applied research, experimental development and
new ways of working within the French official statistics service (Service de
Statistique Publique; SSP). Sponsored by business units in charge of statistical
production, the SSP Lab conducts experimental projects in partnership with
these units. It also leads networks within the French official statistics service,
in collaboration with external partners, including European peers and
academics.";"INSEE created a new unit dedicated to innovation and R&D in terms of new
data sources and new statistical methods for the production of official
statistics. Part of the Directorate of Methodology, Statistical Coordination and
International Relations, the SSP Lab (Official Statistics Service Lab) is a resource
and animation centre for applied research, experimental development and
new ways of working within the French official statistics service (Service de
Statistique Publique; SSP). Sponsored by business units in charge of statistical
production, the SSP Lab conducts experimental projects in partnership with
these units. It also leads networks within the French official statistics service,
in collaboration with external partners, including European peers and
academics."
10;fake news and big data an overview of solutions;"Rapid online spread of misinformation like fake news has become one of the
top trends in modern societies. It has kept increasing, affecting elections and
other policy-making processes, skewing public opinion, and diminishing trust
in science. To tackle the problem, Facebook, Google, Twitter, and other
companies are now using big data to identify websites that publish fake
information. By applying methods of data science, fake news can be detected
by scoring web pages, flagging sensationalistic words, weighing facts, and
checking website domain names and Alexa rankings to gauge their reputation.
Nevertheless, critical literacy is needed more than ever for reading and
understanding of news, especially in the context of Online Social Networks. In
this paper, we discuss how machine based actions and human based skills may
help in fighting against fake news.";"Rapid online spread of misinformation like fake news has become one of the
top trends in modern societies. It has kept increasing, affecting elections and
other policy-making processes, skewing public opinion, and diminishing trust
in science. To tackle the problem, Facebook, Google, Twitter, and other
companies are now using big data to identify websites that publish fake
information. By applying methods of data science, fake news can be detected
by scoring web pages, flagging sensationalistic words, weighing facts, and
checking website domain names and Alexa rankings to gauge their reputation.
Nevertheless, critical literacy is needed more than ever for reading and
understanding of news, especially in the context of Online Social Networks. In
this paper, we discuss how machine based actions and human based skills may
help in fighting against fake news."
